BOOT_BUTTON,24.04,98.01,180.00,BUTTON_CUSYOMV1,MYBUTTON
C10BAT,125.83,40.29,270.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C1USB,149.87,35.95,180.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C21,145.79,-5.04,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C22,148.48,-5.05,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C23,52.53,97.78,270.00,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C24,27.11,97.88,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C25,67.33,97.78,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C26,87.01,37.23,0.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C2USB1,149.89,37.45,180.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C3BAT,115.44,26.57,180.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C4BAT,130.53,28.99,270.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C5TANT,126.18,28.48,270.00,100uF,RCL_CT3528
C6,6.95,89.29,90.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C7,72.17,14.91,90.00,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
C8,85.91,22.48,180.00,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402
C9BAT,116.34,37.47,180.00,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402
CHANGE_BUTTON,63.93,98.11,180.00,BUTTON_CUSYOMV1,MYBUTTON
CHG_LED,116.95,39.73,90.00,,ADAFRUIT_CHIP-LED0603
C_DELAY,51.77,91.88,270.00,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402
D1,151.61,40.27,0.00,USBLC6-2SC6Y,SOT95P280X145-6N
D10,34.15,29.96,90.00,PGB1010603MR,DIOC1608X36N
D11,73.84,9.25,0.00,PGB1010603MR,DIOC1608X36N
D12,10.38,33.35,180.00,PGB1010603MR,DIOC1608X36N
D2,115.14,30.35,90.00,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0
D3,85.80,24.85,180.00,MBR0530,SOD3716X135N
D4,85.86,19.85,180.00,MBR0530,SOD3716X135N
